ticket_id,customer_id,product,region,date,channel,satisfaction_score,ticket_text
TK00061,C0269,CloudSync,Sydney,2025-07-16,Email,3,Need documentation on retry logic for failed records.
TK00062,C0067,Account,Sydney,2025-08-06,Chat,5,"Smooth onboarding, everything is set up correctly."
TK00063,C0086,Account,San Francisco,2025-07-09,Email,2,"Billed twice this month, please refund the duplicate charge."
TK00064,C0066,CloudSync,San Francisco,2025-09-29,Phone,3,Need documentation on retry logic for failed records.
TK00065,C0033,DataVault,Sydney,2026-03-08,Email,5,DataVault has been rock solid — sovereign storage is why we chose you.
TK00066,C0214,CloudSync,Sydney,2025-12-11,Chat,3,Requesting a sandbox to test a new field mapping.
TK00067,C0128,CloudSync,San Francisco,2026-03-20,Email,3,Requesting a sandbox to test a new field mapping.
TK00068,C0212,Analytics Pro,San Francisco,2026-01-29,Portal,3,Requesting access to the advanced modelling module.
TK00069,C0189,Account,Singapore,2026-03-29,Phone,3,Need to update our billing contact details.
TK00070,C0253,Account,Sydney,2026-04-29,Email,3,How do we add a new seat to our plan?
TK00071,C0217,DataVault,Sydney,2025-11-11,Email,4,"Quick resolution on the quota ticket, excellent service."
TK00072,C0153,CloudSync,San Francisco,2026-03-14,Phone,4,The new mapping UI is a real improvement.
TK00073,C0171,Account,San Francisco,2026-05-29,Portal,3,Need to update our billing contact details.
TK00074,C0122,Analytics Pro,San Francisco,2026-01-11,Phone,2,"Dashboards take over a minute to load, unusable for our standups."
TK00075,C0057,Analytics Pro,San Francisco,2025-10-27,Phone,3,Requesting access to the advanced modelling module.
TK00076,C0019,CloudSync,Singapore,2025-12-04,Portal,3,How do we add a new source to the CloudSync pipeline?
TK00077,C0236,Account,Sydney,2025-08-12,Portal,4,"Account manager sorted our billing query same day, thank you."
TK00078,C0231,CloudSync,San Francisco,2026-03-25,Phone,2,API errors every time we push a large batch — unacceptable.
TK00079,C0079,Analytics Pro,Singapore,2026-01-08,Chat,3,Requesting access to the advanced modelling module.
TK00080,C0130,Account,Sydney,2026-03-31,Portal,4,"Smooth onboarding, everything is set up correctly."
TK00081,C0102,Analytics Pro,San Francisco,2026-03-11,Portal,3,Need to schedule a training session for our new analysts.
TK00082,C0096,DataVault,Singapore,2025-08-15,Email,4,"Backup completed ahead of schedule, thanks to the support team."
TK00083,C0064,Analytics Pro,Sydney,2025-07-21,Portal,3,Requesting access to the advanced modelling module.
TK00084,C0120,CloudSync,Sydney,2026-04-13,Portal,3,Requesting a sandbox to test a new field mapping.
TK00085,C0211,DataVault,San Francisco,2025-12-03,Email,3,Requesting an increase to our storage quota for the new project.
TK00086,C0128,Analytics Pro,San Francisco,2026-03-18,Chat,4,Support walked us through the modelling module — really helpful.
TK00087,C0243,DataVault,Sydney,2026-01-19,Phone,4,"The new restore workflow is much faster, really appreciate it."
TK00088,C0130,Analytics Pro,Sydney,2026-04-20,Email,5,Analytics Pro replaced three manual spreadsheets for us.
TK00089,C0250,CloudSync,Sydney,2026-05-01,Chat,2,"Integration with our ERP keeps dropping, we are evaluating alternatives."
TK00090,C0182,Analytics Pro,Sydney,2026-01-14,Email,4,"Once configured, the dashboards are genuinely powerful."
TK00091,C0234,CloudSync,Singapore,2025-08-10,Phone,3,"Clarification on rate limits for the integration API, please."
TK00092,C0249,Account,San Francisco,2025-07-06,Portal,4,"Account manager sorted our billing query same day, thank you."
TK00093,C0009,CloudSync,Sydney,2025-10-28,Email,2,"Integration with our ERP keeps dropping, we are evaluating alternatives."
TK00094,C0177,Account,Singapore,2026-03-10,Portal,4,"Smooth onboarding, everything is set up correctly."
TK00095,C0268,CloudSync,Sydney,2026-03-19,Chat,4,Support helped us tune the batch size and syncs are stable now.
TK00096,C0226,CloudSync,San Francisco,2026-03-25,Portal,3,How do we add a new source to the CloudSync pipeline?
TK00097,C0049,Account,San Francisco,2026-02-01,Email,5,"Smooth onboarding, everything is set up correctly."
TK00098,C0132,DataVault,Sydney,2025-10-03,Phone,4,"Backup completed ahead of schedule, thanks to the support team."
TK00099,C0239,Analytics Pro,Sydney,2025-07-21,Email,3,Need to schedule a training session for our new analysts.
TK00100,C0219,Analytics Pro,San Francisco,2025-08-24,Phone,3,Looking for guidance on custom calculated fields.
TK00101,C0041,CloudSync,Singapore,2025-12-31,Phone,5,The new mapping UI is a real improvement.
TK00102,C0058,Account,Sydney,2025-08-26,Phone,4,"Account manager sorted our billing query same day, thank you."
TK00103,C0049,DataVault,San Francisco,2025-06-14,Phone,4,"The new restore workflow is much faster, really appreciate it."
TK00104,C0060,CloudSync,Singapore,2026-01-29,Portal,3,"Clarification on rate limits for the integration API, please."
TK00105,C0138,DataVault,Singapore,2025-10-27,Email,3,Please confirm the timing of this weekend's scheduled maintenance.
TK00106,C0271,Analytics Pro,Sydney,2026-03-06,Chat,3,Need to schedule a training session for our new analysts.
TK00107,C0191,Analytics Pro,San Francisco,2025-06-03,Portal,3,How do we share a dashboard with an external auditor?
TK00108,C0153,CloudSync,San Francisco,2026-01-13,Email,3,Requesting a sandbox to test a new field mapping.
TK00109,C0227,Analytics Pro,Singapore,2026-05-02,Email,5,"The new report scheduler is a big improvement, thanks."
TK00110,C0160,Analytics Pro,Sydney,2026-03-23,Chat,3,Need to schedule a training session for our new analysts.
TK00111,C0052,DataVault,Singapore,2025-06-05,Email,3,Requesting an increase to our storage quota for the new project.
TK00112,C0142,Account,San Francisco,2025-10-03,Portal,3,Need to update our billing contact details.
TK00113,C0041,Account,Singapore,2025-11-24,Email,5,"Smooth onboarding, everything is set up correctly."
TK00114,C0136,Analytics Pro,Sydney,2026-03-11,Portal,4,"Once configured, the dashboards are genuinely powerful."
TK00115,C0114,Analytics Pro,Sydney,2025-12-05,Email,4,"The new report scheduler is a big improvement, thanks."
TK00116,C0253,Account,Sydney,2026-04-21,Chat,4,"Account manager sorted our billing query same day, thank you."
TK00117,C0085,CloudSync,San Francisco,2026-01-28,Email,1,"Integration with our ERP keeps dropping, we are evaluating alternatives."
TK00118,C0224,Account,Singapore,2026-04-18,Portal,4,"Smooth onboarding, everything is set up correctly."
TK00119,C0220,Account,Sydney,2025-10-16,Email,4,"Account manager sorted our billing query same day, thank you."
TK00120,C0209,Analytics Pro,Sydney,2026-04-28,Portal,4,Support walked us through the modelling module — really helpful.
TK00121,C0027,CloudSync,Singapore,2025-12-06,Phone,3,How do we add a new source to the CloudSync pipeline?
TK00122,C0257,CloudSync,Sydney,2026-05-20,Phone,3,Requesting a sandbox to test a new field mapping.
TK00123,C0212,DataVault,San Francisco,2025-06-18,Portal,5,"Backup completed ahead of schedule, thanks to the support team."
TK00124,C0244,CloudSync,Sydney,2026-01-02,Email,4,Integration has been smooth since the last patch.
TK00125,C0188,DataVault,Sydney,2026-03-06,Email,4,"Quick resolution on the quota ticket, excellent service."
TK00126,C0251,CloudSync,Sydney,2026-02-12,Portal,2,"CloudSync failed overnight and duplicated half our records, this is a mess."
TK00127,C0246,Analytics Pro,Singapore,2025-09-20,Chat,4,Support walked us through the modelling module — really helpful.
TK00128,C0220,CloudSync,Sydney,2026-03-07,Email,3,"Clarification on rate limits for the integration API, please."
TK00129,C0047,DataVault,Singapore,2025-11-20,Phone,4,"Backup completed ahead of schedule, thanks to the support team."
TK00130,C0114,Analytics Pro,Sydney,2026-05-10,Chat,5,"The new report scheduler is a big improvement, thanks."
TK00131,C0006,Analytics Pro,Singapore,2026-02-17,Phone,4,Support walked us through the modelling module — really helpful.
TK00132,C0208,Analytics Pro,Singapore,2026-02-17,Portal,3,Requesting access to the advanced modelling module.
TK00133,C0215,DataVault,Sydney,2025-09-20,Email,5,"The new restore workflow is much faster, really appreciate it."
TK00134,C0060,Account,Singapore,2026-04-04,Chat,3,Need to update our billing contact details.
TK00135,C0048,DataVault,Singapore,2026-02-16,Email,3,Requesting an increase to our storage quota for the new project.
TK00136,C0111,CloudSync,Sydney,2025-12-02,Phone,4,Integration has been smooth since the last patch.
TK00137,C0128,Account,San Francisco,2026-03-12,Phone,4,"Account manager sorted our billing query same day, thank you."
TK00138,C0113,DataVault,Singapore,2026-02-14,Phone,4,"The new restore workflow is much faster, really appreciate it."
TK00139,C0116,DataVault,Sydney,2026-05-25,Portal,3,Need clarification on the data sovereignty residency options.
TK00140,C0204,DataVault,Sydney,2026-04-06,Phone,4,"Backup completed ahead of schedule, thanks to the support team."
TK00141,C0045,DataVault,Singapore,2025-08-15,Chat,4,"Quick resolution on the quota ticket, excellent service."
TK00142,C0073,Analytics Pro,Sydney,2025-07-02,Phone,4,"The new report scheduler is a big improvement, thanks."
TK00143,C0218,DataVault,Singapore,2026-05-12,Phone,3,Please confirm the timing of this weekend's scheduled maintenance.
TK00144,C0123,DataVault,Sydney,2026-05-20,Chat,4,"Quick resolution on the quota ticket, excellent service."
TK00145,C0243,DataVault,Sydney,2026-04-28,Email,4,DataVault has been rock solid — sovereign storage is why we chose you.
TK00146,C0215,DataVault,Sydney,2025-11-18,Email,5,"Quick resolution on the quota ticket, excellent service."
TK00147,C0149,CloudSync,Sydney,2025-12-28,Email,4,"CloudSync caught up overnight and everything reconciled, thanks."
TK00148,C0040,Analytics Pro,San Francisco,2025-08-25,Phone,4,Analytics Pro replaced three manual spreadsheets for us.
TK00149,C0161,DataVault,San Francisco,2025-07-12,Chat,4,"The new restore workflow is much faster, really appreciate it."
TK00150,C0198,CloudSync,Singapore,2026-02-02,Portal,3,"Clarification on rate limits for the integration API, please."
TK00151,C0269,Analytics Pro,Sydney,2025-12-22,Portal,4,"The new report scheduler is a big improvement, thanks."
TK00152,C0010,DataVault,Singapore,2025-10-14,Email,5,"Backup completed ahead of schedule, thanks to the support team."
TK00153,C0097,Analytics Pro,Sydney,2025-08-11,Email,4,"The new report scheduler is a big improvement, thanks."
TK00154,C0195,Analytics Pro,Sydney,2026-02-17,Email,3,How do we share a dashboard with an external auditor?
TK00155,C0074,Analytics Pro,Singapore,2026-04-09,Phone,4,"Once configured, the dashboards are genuinely powerful."
TK00156,C0023,Analytics Pro,Sydney,2025-11-01,Email,3,How do we share a dashboard with an external auditor?
TK00157,C0162,CloudSync,Sydney,2025-08-05,Chat,4,Support helped us tune the batch size and syncs are stable now.
TK00158,C0155,CloudSync,Singapore,2025-06-15,Email,3,"Clarification on rate limits for the integration API, please."
TK00159,C0073,DataVault,Sydney,2026-03-07,Phone,5,DataVault has been rock solid — sovereign storage is why we chose you.
TK00160,C0073,DataVault,Sydney,2026-01-29,Phone,5,"Backup completed ahead of schedule, thanks to the support team."
TK00161,C0045,DataVault,Singapore,2025-07-22,Email,4,"Quick resolution on the quota ticket, excellent service."
TK00162,C0169,Analytics Pro,Sydney,2026-04-05,Phone,4,Support walked us through the modelling module — really helpful.
TK00163,C0095,DataVault,Sydney,2026-04-17,Chat,4,"Quick resolution on the quota ticket, excellent service."
TK00164,C0203,DataVault,Singapore,2025-09-17,Email,4,"Quick resolution on the quota ticket, excellent service."
TK00165,C0188,Analytics Pro,Sydney,2025-09-07,Portal,3,How do we share a dashboard with an external auditor?
TK00166,C0159,Account,Sydney,2026-02-04,Email,4,"Smooth onboarding, everything is set up correctly."
TK00167,C0092,Analytics Pro,Sydney,2025-11-01,Portal,4,Analytics Pro replaced three manual spreadsheets for us.
TK00168,C0231,CloudSync,San Francisco,2025-10-26,Portal,2,"CloudSync failed overnight and duplicated half our records, this is a mess."
TK00169,C0126,Account,Singapore,2025-12-29,Portal,4,"Account manager sorted our billing query same day, thank you."
TK00170,C0249,CloudSync,San Francisco,2026-03-08,Email,3,"Clarification on rate limits for the integration API, please."
TK00171,C0064,CloudSync,Sydney,2026-03-17,Email,4,Support helped us tune the batch size and syncs are stable now.
TK00172,C0085,Account,San Francisco,2025-11-23,Portal,3,Requesting an updated invoice for finance.
TK00173,C0056,Analytics Pro,Singapore,2025-11-06,Chat,4,Support walked us through the modelling module — really helpful.
TK00174,C0178,CloudSync,Sydney,2025-07-24,Email,2,"CloudSync failed overnight and duplicated half our records, this is a mess."
TK00175,C0231,CloudSync,San Francisco,2026-02-22,Phone,2,API errors every time we push a large batch — unacceptable.
TK00176,C0112,Account,Sydney,2025-10-05,Portal,4,"Smooth onboarding, everything is set up correctly."
TK00177,C0130,Analytics Pro,Sydney,2026-01-18,Portal,4,Support walked us through the modelling module — really helpful.
TK00178,C0087,CloudSync,Sydney,2025-09-22,Phone,3,Need documentation on retry logic for failed records.
TK00179,C0164,Analytics Pro,Singapore,2026-04-12,Email,5,"The new report scheduler is a big improvement, thanks."
TK00180,C0156,CloudSync,Singapore,2026-05-18,Portal,3,Requesting a sandbox to test a new field mapping.
TK00181,C0256,DataVault,Singapore,2026-01-28,Email,4,"Quick resolution on the quota ticket, excellent service."
TK00182,C0203,Account,Singapore,2026-05-20,Portal,3,Need to update our billing contact details.
TK00183,C0028,Account,Sydney,2025-06-30,Phone,4,"Account manager sorted our billing query same day, thank you."
TK00184,C0189,Analytics Pro,Singapore,2026-03-03,Chat,3,How do we share a dashboard with an external auditor?
TK00185,C0082,CloudSync,Sydney,2026-01-10,Chat,3,Requesting a sandbox to test a new field mapping.
TK00186,C0149,Analytics Pro,Sydney,2025-06-27,Portal,4,Support walked us through the modelling module — really helpful.
TK00187,C0266,DataVault,San Francisco,2026-01-06,Chat,4,"Backup completed ahead of schedule, thanks to the support team."
TK00188,C0055,CloudSync,Sydney,2025-08-19,Phone,3,Need documentation on retry logic for failed records.
TK00189,C0063,DataVault,Singapore,2026-03-18,Chat,5,"Quick resolution on the quota ticket, excellent service."
TK00190,C0053,Analytics Pro,Singapore,2025-09-14,Chat,3,Need to schedule a training session for our new analysts.
TK00191,C0280,CloudSync,Singapore,2026-02-16,Portal,5,Integration has been smooth since the last patch.
TK00192,C0089,DataVault,Sydney,2025-11-25,Portal,4,"The new restore workflow is much faster, really appreciate it."
TK00193,C0227,DataVault,Singapore,2026-02-26,Email,3,Need clarification on the data sovereignty residency options.
TK00194,C0267,DataVault,San Francisco,2025-07-20,Portal,4,"The new restore workflow is much faster, really appreciate it."
TK00195,C0104,CloudSync,Singapore,2025-07-20,Email,4,Support helped us tune the batch size and syncs are stable now.
TK00196,C0209,DataVault,Sydney,2025-12-21,Phone,4,"The new restore workflow is much faster, really appreciate it."
TK00197,C0021,CloudSync,Sydney,2025-10-15,Phone,4,Support helped us tune the batch size and syncs are stable now.
TK00198,C0167,Account,Singapore,2026-04-01,Chat,3,Requesting an updated invoice for finance.
TK00199,C0029,DataVault,Sydney,2026-05-25,Phone,4,"The new restore workflow is much faster, really appreciate it."
TK00200,C0223,Analytics Pro,San Francisco,2025-07-08,Chat,3,Requesting access to the advanced modelling module.
TK00201,C0118,Analytics Pro,San Francisco,2026-05-14,Email,3,Requesting access to the advanced modelling module.
TK00202,C0188,Analytics Pro,Sydney,2026-02-28,Phone,4,"The new report scheduler is a big improvement, thanks."
TK00203,C0096,DataVault,Singapore,2025-12-31,Portal,4,"Quick resolution on the quota ticket, excellent service."
TK00204,C0185,DataVault,Singapore,2025-07-01,Phone,5,"Backup completed ahead of schedule, thanks to the support team."
TK00205,C0276,CloudSync,Sydney,2025-10-09,Email,2,Honestly considering AWS for this — reliability has to improve.
TK00206,C0279,Analytics Pro,Singapore,2025-06-28,Email,4,Support walked us through the modelling module — really helpful.
TK00207,C0216,Analytics Pro,San Francisco,2025-09-09,Email,3,Requesting access to the advanced modelling module.
TK00208,C0161,DataVault,San Francisco,2025-09-30,Email,3,How do we configure lifecycle policies on cold storage?
TK00209,C0064,DataVault,Sydney,2026-04-05,Email,4,"Backup completed ahead of schedule, thanks to the support team."
TK00210,C0060,CloudSync,Singapore,2025-09-09,Phone,4,"CloudSync caught up overnight and everything reconciled, thanks."
TK00211,C0237,Account,San Francisco,2026-05-05,Email,3,Need to update our billing contact details.
TK00212,C0205,Analytics Pro,San Francisco,2025-07-03,Email,2,The learning curve is brutal — my team can't build a basic report without help.
TK00213,C0062,CloudSync,Singapore,2026-03-18,Portal,4,Support helped us tune the batch size and syncs are stable now.
TK00214,C0059,DataVault,San Francisco,2025-09-16,Chat,4,"The new restore workflow is much faster, really appreciate it."
TK00215,C0166,CloudSync,Sydney,2026-05-12,Email,3,How do we add a new source to the CloudSync pipeline?
TK00216,C0072,DataVault,San Francisco,2025-08-28,Email,4,"Quick resolution on the quota ticket, excellent service."
TK00217,C0079,DataVault,Singapore,2026-04-15,Chat,4,"Quick resolution on the quota ticket, excellent service."
TK00218,C0230,Account,Sydney,2025-07-29,Phone,4,"Smooth onboarding, everything is set up correctly."
TK00219,C0265,CloudSync,Singapore,2026-02-26,Chat,5,Integration has been smooth since the last patch.
TK00220,C0231,CloudSync,San Francisco,2026-04-30,Portal,2,Field mapping broke after your update with no warning at all.
TK00221,C0206,Account,Sydney,2025-10-13,Chat,4,"Smooth onboarding, everything is set up correctly."
TK00222,C0203,DataVault,Singapore,2026-03-01,Email,3,Requesting an increase to our storage quota for the new project.
TK00223,C0197,DataVault,San Francisco,2026-01-17,Chat,4,"Backup completed ahead of schedule, thanks to the support team."
TK00224,C0026,Account,Sydney,2025-10-08,Email,3,How do we add a new seat to our plan?
TK00225,C0123,Analytics Pro,Sydney,2026-01-13,Email,4,Analytics Pro replaced three manual spreadsheets for us.
TK00226,C0115,Analytics Pro,Sydney,2025-06-21,Chat,4,Support walked us through the modelling module — really helpful.
TK00227,C0228,Analytics Pro,San Francisco,2025-07-19,Email,5,Support walked us through the modelling module — really helpful.
TK00228,C0146,Analytics Pro,San Francisco,2026-02-01,Phone,3,Looking for guidance on custom calculated fields.
TK00229,C0253,DataVault,Sydney,2026-01-01,Phone,3,How do we configure lifecycle policies on cold storage?
TK00230,C0120,CloudSync,Sydney,2026-02-17,Email,2,Sync latency is over an hour and downstream systems are breaking.
TK00231,C0027,DataVault,Singapore,2026-05-14,Chat,4,DataVault has been rock solid — sovereign storage is why we chose you.
TK00232,C0220,DataVault,Sydney,2026-01-28,Phone,4,"Quick resolution on the quota ticket, excellent service."
TK00233,C0123,DataVault,Sydney,2025-09-15,Phone,4,DataVault has been rock solid — sovereign storage is why we chose you.
TK00234,C0094,Account,Sydney,2026-05-04,Portal,3,Requesting an updated invoice for finance.
TK00235,C0239,DataVault,Sydney,2025-09-06,Chat,4,"Quick resolution on the quota ticket, excellent service."
TK00236,C0031,Account,Sydney,2026-02-24,Portal,5,"Account manager sorted our billing query same day, thank you."
TK00237,C0105,CloudSync,Sydney,2026-01-04,Email,2,"CloudSync failed overnight and duplicated half our records, this is a mess."
TK00238,C0010,Account,Singapore,2025-12-12,Phone,3,How do we add a new seat to our plan?
TK00239,C0109,CloudSync,San Francisco,2025-07-24,Phone,3,Requesting a sandbox to test a new field mapping.
TK00240,C0065,Analytics Pro,San Francisco,2025-10-24,Portal,4,Analytics Pro replaced three manual spreadsheets for us.
TK00241,C0159,DataVault,Sydney,2025-09-18,Phone,5,"Backup completed ahead of schedule, thanks to the support team."
TK00242,C0089,DataVault,Sydney,2026-05-10,Portal,4,DataVault has been rock solid — sovereign storage is why we chose you.
TK00243,C0207,Analytics Pro,Sydney,2025-10-05,Email,4,Analytics Pro replaced three manual spreadsheets for us.
TK00244,C0075,DataVault,San Francisco,2025-11-21,Email,3,How do we configure lifecycle policies on cold storage?
TK00245,C0277,CloudSync,Sydney,2026-05-29,Portal,3,Requesting a sandbox to test a new field mapping.
TK00246,C0163,Account,San Francisco,2026-01-29,Email,2,Onboarding has been slow and we still don't have full access.
TK00247,C0061,DataVault,Sydney,2026-02-02,Email,4,"Quick resolution on the quota ticket, excellent service."
TK00248,C0237,Account,San Francisco,2025-06-12,Phone,2,"Cannot log in since the SSO change, locked out of our account."
TK00249,C0218,DataVault,Singapore,2025-06-12,Phone,5,"Backup completed ahead of schedule, thanks to the support team."
TK00250,C0192,CloudSync,San Francisco,2025-10-05,Portal,3,"Clarification on rate limits for the integration API, please."
TK00251,C0213,DataVault,San Francisco,2025-07-17,Email,3,How do we configure lifecycle policies on cold storage?
TK00252,C0183,Account,Singapore,2026-03-12,Email,4,"Account manager sorted our billing query same day, thank you."
TK00253,C0168,CloudSync,San Francisco,2025-11-28,Portal,1,"Integration with our ERP keeps dropping, we are evaluating alternatives."
TK00254,C0231,CloudSync,San Francisco,2025-10-14,Portal,3,"Clarification on rate limits for the integration API, please."
TK00255,C0155,Account,Singapore,2026-01-15,Chat,4,"Account manager sorted our billing query same day, thank you."
TK00256,C0259,DataVault,Singapore,2025-10-01,Email,3,How do we configure lifecycle policies on cold storage?
TK00257,C0275,Account,Sydney,2025-10-29,Chat,3,Need to update our billing contact details.
TK00258,C0007,Analytics Pro,Sydney,2025-06-04,Chat,3,How do we share a dashboard with an external auditor?
TK00259,C0200,Analytics Pro,Singapore,2025-06-13,Email,5,"The new report scheduler is a big improvement, thanks."
TK00260,C0266,DataVault,San Francisco,2026-05-22,Phone,4,DataVault has been rock solid — sovereign storage is why we chose you.
TK00261,C0220,CloudSync,Sydney,2025-06-19,Chat,3,How do we add a new source to the CloudSync pipeline?
TK00262,C0074,Analytics Pro,Singapore,2026-02-24,Phone,3,How do we share a dashboard with an external auditor?
TK00263,C0180,CloudSync,Sydney,2026-01-09,Chat,4,"CloudSync caught up overnight and everything reconciled, thanks."
TK00264,C0103,Analytics Pro,San Francisco,2025-12-25,Portal,4,Support walked us through the modelling module — really helpful.
TK00265,C0058,Account,Sydney,2025-10-26,Portal,4,"Smooth onboarding, everything is set up correctly."
