transaction_id,customer_id,billing_month,storage_gb,api_calls,seats,billing_amount
T00044,C0044,2026-05,2099,627543,32,5690
T00045,C0045,2026-05,3643,445288,43,6620
T00046,C0046,2026-05,3945,476503,44,7860
T00047,C0047,2026-05,2975,631904,41,6990
T00048,C0048,2026-05,2470,609161,27,4910
T00049,C0049,2026-05,2333,480734,35,6210
T00050,C0050,2026-05,1551,1260824,33,5470
T00051,C0051,2026-05,2658,152615,27,4650
T00052,C0052,2026-05,921,202497,7,1550
T00053,C0053,2026-05,576,103425,14,1670
T00054,C0054,2026-05,3731,501499,39,6680
T00055,C0055,2026-05,539,157797,10,1570
T00056,C0056,2026-05,1387,476416,22,4200
T00057,C0057,2026-05,2571,352412,52,6670
T00058,C0058,2026-05,7856,1527871,131,24680
T00059,C0059,2026-05,9028,2563533,79,20230
T00060,C0060,2026-05,2920,376177,63,8640
T00061,C0061,2026-05,2803,638969,42,6300
T00062,C0062,2026-05,12849,1334374,121,25350
T00063,C0063,2026-05,2328,1486298,18,5740
T00064,C0064,2026-05,3373,738020,27,6130
T00065,C0065,2026-05,10795,2800404,111,26190
T00066,C0066,2026-05,9314,2002274,99,20280
T00067,C0067,2026-05,14624,3011756,109,29740
T00068,C0068,2026-05,3973,511410,41,8850
T00069,C0069,2026-05,9459,1792262,112,23440
T00070,C0070,2026-05,1291,1734683,47,7280
T00071,C0071,2026-05,938,95399,17,2270
T00072,C0072,2026-05,2207,1510286,28,6650
T00073,C0073,2026-05,8014,3220652,99,26410
T00074,C0074,2026-05,512,210971,5,1310
T00075,C0075,2026-05,150,104949,9,1100
T00076,C0076,2026-05,2238,1988895,28,7370
T00077,C0077,2026-05,4449,2009436,40,10510
T00078,C0078,2026-05,4505,740224,40,7450
T00079,C0079,2026-05,1009,202337,13,2400
T00080,C0080,2026-05,3017,339713,54,7200
T00081,C0081,2026-05,703,237203,20,2550
T00082,C0082,2026-05,747,2583943,13,5510
T00083,C0083,2026-05,11955,2596817,85,22370
T00084,C0084,2026-05,1266,2374082,48,9110
T00085,C0085,2026-05,150,125733,6,900
T00086,C0086,2026-05,735,133141,15,1960
T00087,C0087,2026-05,898,187078,10,1830
T00088,C0088,2026-05,394,264881,9,1560
T00089,C0089,2026-05,624,236545,14,2010
T00090,C0090,2026-05,3242,362593,30,6100
T00091,C0091,2026-05,9088,3709834,87,23430
T00092,C0092,2026-05,1484,1541201,40,6410
T00093,C0093,2026-05,11379,2640322,146,32720
T00094,C0094,2026-05,496,141639,18,2160
T00095,C0095,2026-05,11500,1900124,81,24140
T00096,C0096,2026-05,1472,196854,13,2460
T00097,C0097,2026-05,11769,2547963,140,29480
T00098,C0098,2026-05,783,158723,16,2090
T00099,C0099,2026-05,741,118868,18,2330
T00100,C0100,2026-05,2372,433410,46,6930
T00101,C0101,2026-05,11045,4140424,86,23620
T00102,C0102,2026-05,2745,618254,36,6210
T00103,C0103,2026-05,2480,669102,42,5970
T00104,C0104,2026-05,946,262453,11,2290
T00105,C0105,2026-05,469,257392,11,1780
T00106,C0106,2026-05,10251,2080017,53,16880
T00107,C0107,2026-05,1501,335536,43,4940
T00108,C0108,2026-05,3274,660354,39,8130
T00109,C0109,2026-05,4228,252589,27,6370
T00110,C0110,2026-05,8337,1972981,92,18120
T00111,C0111,2026-05,13237,3484660,120,29300
T00112,C0112,2026-05,1406,1570429,48,7870
T00113,C0113,2026-05,3250,712179,28,6330
T00114,C0114,2026-05,3146,372369,30,6460
T00115,C0115,2026-05,8598,2647720,134,27940
T00116,C0116,2026-05,2036,1458438,31,7250
T00117,C0117,2026-05,3647,539403,32,6190
T00118,C0118,2026-05,2631,435328,31,5790
T00119,C0119,2026-05,2252,379190,44,6170
T00120,C0120,2026-05,606,30000,14,1620
T00121,C0121,2026-05,1638,491645,51,5980
T00122,C0122,2026-05,2653,379118,32,5100
T00123,C0123,2026-05,12397,1813926,155,34260
T00124,C0124,2026-05,5833,812442,136,21540
T00125,C0125,2026-05,1137,143296,18,2560
T00126,C0126,2026-05,799,76689,13,1690
T00127,C0127,2026-05,11788,2450257,87,24330
T00128,C0128,2026-05,13009,2094331,72,26070
T00129,C0129,2026-05,4531,471112,40,7770
T00130,C0130,2026-05,1460,1774135,42,7850
T00131,C0131,2026-05,2935,480370,29,5380
T00132,C0132,2026-05,3122,635122,33,6570
T00133,C0133,2026-05,819,160664,10,1830
T00134,C0134,2026-05,1606,538152,25,4340
T00135,C0135,2026-05,3560,418088,38,7200
T00136,C0136,2026-05,2226,1758848,26,6990
T00137,C0137,2026-05,2265,373389,45,6490
T00138,C0138,2026-05,2732,498294,55,7740
T00139,C0139,2026-05,654,1480769,19,5230
T00140,C0140,2026-05,3347,719382,35,7140
T00141,C0141,2026-05,782,156434,9,1670
T00142,C0142,2026-05,6511,3377381,115,22020
T00143,C0143,2026-05,1068,176213,12,1930
T00144,C0144,2026-05,1405,1869498,31,6870
T00145,C0145,2026-05,3336,372732,44,7220
T00146,C0146,2026-05,9110,3070532,127,24850
T00147,C0147,2026-05,3161,338626,45,6710
T00148,C0148,2026-05,790,1596700,35,7240
T00149,C0149,2026-05,1883,1343108,27,6210
T00150,C0150,2026-05,517,193679,26,2480
T00151,C0151,2026-05,1336,90816,7,1760
T00152,C0152,2026-05,2266,521861,50,7100
T00153,C0153,2026-05,3509,426686,31,7140
T00154,C0154,2026-05,2124,1413710,26,6280
T00155,C0155,2026-05,3800,673096,26,6150
T00156,C0156,2026-05,3242,336448,21,4920
T00157,C0157,2026-05,2010,474884,47,5460
T00158,C0158,2026-05,8044,2465769,108,24120
T00159,C0159,2026-05,2259,536054,37,5790
T00160,C0160,2026-05,981,30000,22,2970
T00161,C0161,2026-05,631,108627,3,1020
T00162,C0162,2026-05,11905,3376102,90,23080
T00163,C0163,2026-05,1894,150000,25,3990
T00164,C0164,2026-05,3618,600140,39,7440
T00165,C0165,2026-05,606,147775,10,1720
T00166,C0166,2026-05,11788,2798596,103,23620
T00167,C0167,2026-05,236,126939,14,1550
T00168,C0168,2026-05,1066,2002242,30,6600
T00169,C0169,2026-05,11747,3936068,111,26250
T00170,C0170,2026-05,605,151002,12,1720
T00171,C0171,2026-05,6397,3466006,112,21960
T00172,C0172,2026-05,3163,629336,35,6530
T00173,C0173,2026-05,2703,572434,43,6150
T00174,C0174,2026-05,796,179894,18,2320
T00175,C0175,2026-05,1779,484564,43,5510
T00176,C0176,2026-05,3884,443774,23,5290
T00177,C0177,2026-05,691,155652,12,1780
T00178,C0178,2026-05,899,161663,11,1990
T00179,C0179,2026-05,3784,422729,23,4940
T00180,C0180,2026-05,7272,1862786,146,24470
T00181,C0181,2026-05,8350,1398472,40,15210
T00182,C0182,2026-05,1798,1088646,25,5570
T00183,C0183,2026-05,1599,2362345,19,7330
T00184,C0184,2026-05,9038,3554626,141,27930
T00185,C0185,2026-05,8355,3637997,120,30250
T00186,C0186,2026-05,525,146982,6,1180
T00187,C0187,2026-05,1167,157009,13,2120
T00188,C0188,2026-05,10996,3023361,114,30210
T00189,C0189,2026-05,3950,671620,30,6910
T00190,C0190,2026-05,1045,137420,10,1870
T00191,C0191,2026-05,2699,303795,37,6060
T00192,C0192,2026-05,4084,809378,30,6600
T00193,C0193,2026-05,2060,2110111,19,6380
T00194,C0194,2026-05,987,82496,9,1680
T00195,C0195,2026-05,746,137042,10,1630
T00196,C0196,2026-05,3518,259137,53,7100
T00197,C0197,2026-05,3431,451398,32,5410
T00198,C0198,2026-05,856,1048747,27,4670
T00199,C0199,2026-05,1803,2183189,22,6480
T00200,C0200,2026-05,674,137654,6,1440
T00201,C0201,2026-05,3122,311727,23,4640
T00202,C0202,2026-05,14371,3240907,128,32590
T00203,C0203,2026-05,3223,551745,28,6030
T00204,C0204,2026-05,1760,2171847,47,8490
T00205,C0205,2026-05,3649,438185,28,6070
T00206,C0206,2026-05,2683,961063,32,6320
T00207,C0207,2026-05,2020,2494083,34,8160
T00208,C0208,2026-05,13736,1882681,110,31420
T00209,C0209,2026-05,8379,2666324,120,24370
T00210,C0210,2026-05,761,178165,14,2100
T00211,C0211,2026-05,3782,422767,38,7390
T00212,C0212,2026-05,10017,2333438,94,20220
T00213,C0213,2026-05,3776,644531,53,8410
T00214,C0214,2026-05,10814,3958925,85,26720
T00215,C0215,2026-05,11278,2584492,40,19420
T00216,C0216,2026-05,1379,1045312,26,4820
T00217,C0217,2026-05,1853,587436,28,4580
T00218,C0218,2026-05,851,141097,3,1120
T00219,C0219,2026-05,1110,33441,10,1620
T00220,C0220,2026-05,749,301837,9,1820
T00221,C0221,2026-05,4000,2498245,119,19720
T00222,C0222,2026-05,2479,621572,36,6170
T00223,C0223,2026-05,6412,3284056,117,24370
T00224,C0224,2026-05,8188,2911607,175,26440
T00225,C0225,2026-05,3193,996023,37,6730
T00226,C0226,2026-05,441,104769,6,1150
T00227,C0227,2026-05,2282,394620,41,6070
T00228,C0228,2026-05,8254,1240369,79,20600
T00229,C0229,2026-05,2129,627780,31,5560
T00230,C0230,2026-05,1307,1509832,28,6640
T00231,C0231,2026-05,887,106465,12,1940
T00232,C0232,2026-05,4469,606157,26,7910
T00233,C0233,2026-05,3370,446877,21,5200
T00234,C0234,2026-05,3358,471552,30,5830
T00235,C0235,2026-05,3363,728422,51,8420
T00236,C0236,2026-05,15818,2500235,106,25910
T00237,C0237,2026-05,1355,320832,40,5280
T00238,C0238,2026-05,997,122863,8,1800
T00239,C0239,2026-05,1469,534298,32,4760
T00240,C0240,2026-05,1234,2537985,36,9350
T00241,C0241,2026-05,3785,656926,30,7430
T00242,C0242,2026-05,3322,593364,23,5670
T00243,C0243,2026-05,1901,586526,43,6170
T00244,C0244,2026-05,4040,714485,27,6170
T00245,C0245,2026-05,3108,517473,39,6510
T00246,C0246,2026-05,14029,1892177,152,34990
T00247,C0247,2026-05,2966,423630,32,5340
T00248,C0248,2026-05,1775,966131,43,6770
T00249,C0249,2026-05,10019,1987837,130,24200
T00250,C0250,2026-05,2781,374616,47,5730
T00251,C0251,2026-05,613,83107,10,1530
T00252,C0252,2026-05,204,51618,12,1180
T00253,C0253,2026-05,1065,126489,13,2100
T00254,C0254,2026-05,678,80431,8,1560
T00255,C0255,2026-05,3378,661933,23,5840
T00256,C0256,2026-05,9248,3110099,103,24200
T00257,C0257,2026-05,11437,2025271,137,28230
T00258,C0258,2026-05,2516,150000,33,5050
T00259,C0259,2026-05,8424,3480573,96,20870
T00260,C0260,2026-05,617,257322,13,1840
T00261,C0261,2026-05,1115,171301,17,2340
T00262,C0262,2026-05,1128,82332,18,2570
T00263,C0263,2026-05,1271,1917581,29,6680
T00264,C0264,2026-05,3508,664182,32,6110
T00265,C0265,2026-05,10993,1558918,139,29940
T00266,C0266,2026-05,2319,415730,32,5400
T00267,C0267,2026-05,6933,2331893,121,24440
T00268,C0268,2026-05,3144,381419,30,6110
T00269,C0269,2026-05,10672,2375119,91,26470
T00270,C0270,2026-05,366,178423,21,2360
T00271,C0271,2026-05,11445,1602456,118,24500
T00272,C0272,2026-05,175,117875,11,1270
T00273,C0273,2026-05,996,171983,9,1870
T00274,C0274,2026-05,837,59040,11,1570
T00275,C0275,2026-05,15101,1925428,65,27730
T00276,C0276,2026-05,750,152696,3,1180
T00277,C0277,2026-05,150,123849,6,880
T00278,C0278,2026-05,12722,2213109,59,23990
T00279,C0279,2026-05,8515,1487960,114,22200
T00280,C0280,2026-05,4000,2604567,94,17650
