customer_id,company_name,industry,region,tenure_months,products,monthly_recurring_revenue,support_tier,support_tickets_6m,satisfaction_score,churn_flag
CC0039,Red Centre Solutions,Healthcare,WA,43,DataVault + Analytics Pro,5700.72,Standard,4,2.10,0
CC0040,Mallee Digital,Construction,VIC,24,DataVault,6098.66,Standard,2,3.10,1
CC0041,Goldfields Enterprises,Retail,WA,15,DataVault + CloudSync,5822.01,Standard,2,2.70,1
CC0042,Capricorn Consulting,Real Estate,WA,14,CloudSync,11967.01,Premium,1,2.10,1
CC0043,Esperance Partners,Media & Communications,VIC,7,CloudSync,2052.82,Basic,2,2.10,0
CC0044,Torres Systems,Hospitality,SA,42,Analytics Pro + CloudSync,6774.17,Standard,4,3.10,0
CC0045,Harbour Group,Manufacturing,NSW,28,CloudSync,2249.26,Basic,3,3.80,0
CC0046,Kimberley Systems,Real Estate,NSW,19,Analytics Pro + CloudSync,14897.97,Premium,2,3.00,0
CC0047,Glasshouse Group,Manufacturing,SA,20,DataVault + Analytics Pro,7556.46,Standard,6,2.10,1
CC0048,Tasman Logistics,Manufacturing,QLD,8,CloudSync,1665.93,Basic,5,2.20,0
CC0049,Red Centre Systems,Logistics & Transport,VIC,58,Analytics Pro + CloudSync,7888.24,Standard,4,3.60,1
CC0050,Yarra Services,Manufacturing,SA,32,DataVault,2060.01,Basic,3,3.50,0
CC0051,Limestone Capital,Manufacturing,SA,22,DataVault + Analytics Pro,7065.04,Standard,3,3.20,0
CC0052,Coorong Digital,Government,NSW,47,DataVault + Analytics Pro,2605.14,Basic,4,2.60,1
CC0053,Mallee Solutions,Hospitality,WA,32,Analytics Pro,26672.47,Enterprise,3,2.70,1
CC0054,Southern Cross Logistics,Mining & Resources,WA,14,Analytics Pro,10981.64,Premium,1,3.50,0
CC0055,Wannon Capital,Hospitality,VIC,6,CloudSync,11408.08,Premium,3,3.20,0
CC0056,Southern Cross Cooperative,Real Estate,NSW,17,DataVault,1840.65,Basic,3,2.70,0
CC0057,Limestone Services,Healthcare,QLD,35,CloudSync,29992.46,Enterprise,3,3.90,0
CC0058,Hunter Valley Technologies,Construction,NSW,36,DataVault + Analytics Pro,2861.83,Basic,6,2.50,0
CC0059,Wagga Logistics,Media & Communications,NSW,47,CloudSync,4539.09,Standard,4,2.40,0
CC0060,Carnarvon Technologies,Professional Services,SA,16,DataVault,4440.52,Standard,4,3.70,0
CC0061,Carnarvon Digital,Finance & Insurance,NSW,90,Analytics Pro,5616.88,Standard,3,4.00,0
CC0062,Hunter Valley Systems,Manufacturing,NSW,3,Analytics Pro + CloudSync,2205.56,Basic,4,2.10,0
CC0063,Goldfields Cooperative,Construction,VIC,45,DataVault + CloudSync,2431.45,Basic,5,2.90,0
CC0064,Glasshouse Trading,Agriculture,VIC,27,DataVault + Analytics Pro + CloudSync,14724.84,Premium,3,3.00,0
CC0065,Torres Logistics,Media & Communications,NSW,44,CloudSync,5388.35,Standard,4,3.20,0
CC0066,Southern Cross Digital,Healthcare,VIC,10,Analytics Pro + CloudSync,32771.16,Enterprise,2,2.70,0
CC0067,Coral Coast Digital,Professional Services,NSW,50,DataVault + Analytics Pro + CloudSync,3373.36,Basic,6,2.40,0
CC0068,Southern Cross Partners,Agriculture,NSW,28,CloudSync,1765.92,Basic,4,3.10,0
CC0069,Red Centre Consulting,Hospitality,WA,21,DataVault + Analytics Pro + CloudSync,3640.21,Basic,7,1.70,1
CC0070,Wannon Industries,Government,WA,20,DataVault + Analytics Pro,6459.58,Standard,4,2.30,0
CC0071,Yarra Solutions,Hospitality,VIC,62,DataVault,4800.16,Standard,2,3.80,0
CC0072,Harbour Digital,Manufacturing,WA,80,Analytics Pro,10100.39,Premium,3,4.20,0
CC0073,Kangaroo Logistics,Media & Communications,WA,25,CloudSync,11631.22,Premium,0,2.80,0
CC0074,Southern Cross Holdings,Construction,VIC,14,CloudSync,11324.55,Premium,1,3.80,0
CC0075,Murray River Solutions,Logistics & Transport,VIC,28,DataVault + Analytics Pro + CloudSync,3555.08,Basic,5,2.20,1
CC0076,Yarra Technologies,Agriculture,VIC,16,DataVault + Analytics Pro + CloudSync,3198.06,Basic,5,2.30,0
CC0077,Bondi Trading,Agriculture,WA,9,DataVault,1916.74,Basic,2,1.30,0
CC0078,Pilbara Digital,Manufacturing,NSW,14,Analytics Pro + CloudSync,13122.88,Premium,4,3.10,0
CC0079,Harbour Enterprises,Real Estate,VIC,32,DataVault + Analytics Pro + CloudSync,14023.59,Premium,6,2.40,1
CC0080,Red Centre Services,Manufacturing,NSW,26,DataVault,4512.18,Standard,2,2.40,0
CC0081,Kangaroo Holdings,Professional Services,SA,46,CloudSync,8476.97,Premium,4,3.40,0
CC0082,Gippsland Enterprises,Education,QLD,33,DataVault + CloudSync,7867.59,Standard,6,2.40,0
CC0083,Gippsland Consulting,Technology,VIC,53,DataVault + CloudSync,7635.54,Standard,6,1.70,0
CC0084,Yarra Consulting,Finance & Insurance,WA,27,CloudSync,5257.54,Standard,2,2.50,0
CC0085,Eucalypt Trading,Construction,NSW,9,Analytics Pro,1279.95,Basic,6,1.70,1
CC0086,Daintree Holdings,Retail,NSW,32,DataVault,1995.12,Basic,6,2.10,0
CC0087,Flinders Services,Education,NSW,15,DataVault + CloudSync,2518.94,Basic,6,1.50,0
CC0088,Hunter Valley Consulting,Professional Services,NSW,27,DataVault + Analytics Pro + CloudSync,3291.56,Basic,3,2.10,0
CC0089,Sunshine Coast Solutions,Construction,NSW,6,CloudSync,24335.15,Enterprise,1,2.60,0
CC0090,Yarra Group,Logistics & Transport,QLD,32,DataVault,29205.48,Enterprise,0,3.00,0
CC0091,Flinders Logistics,Mining & Resources,NSW,40,CloudSync,6563.19,Standard,3,2.40,0
CC0092,Torres Trading,Manufacturing,SA,26,DataVault + Analytics Pro + CloudSync,6376.89,Standard,8,2.20,1
CC0093,Sunshine Coast Group,Construction,VIC,16,Analytics Pro + CloudSync,2720.97,Basic,5,2.20,0
CC0094,Carnarvon Holdings,Finance & Insurance,NSW,15,Analytics Pro,4060.77,Standard,2,2.50,0
CC0095,Limestone Cooperative,Agriculture,SA,28,CloudSync,30310.41,Enterprise,3,3.00,0
CC0096,Capricorn Cooperative,Manufacturing,NSW,4,DataVault + CloudSync,5559.31,Standard,3,2.90,1
CC0097,Darwin Harbour Trading,Mining & Resources,VIC,24,DataVault + Analytics Pro,7172.42,Standard,2,3.40,0
CC0098,Esperance Systems,Government,WA,27,Analytics Pro,4765.20,Standard,3,1.60,0
CC0099,Eucalypt Solutions,Education,SA,61,DataVault,1802.14,Basic,4,2.70,0
CC0100,Adelaide Hills Capital,Retail,VIC,21,DataVault + CloudSync,6595.87,Standard,4,1.70,0
CC0101,Bondi Enterprises,Finance & Insurance,QLD,17,DataVault,1895.97,Basic,2,2.10,1
CC0102,Wannon Systems,Government,NSW,41,CloudSync,2213.92,Basic,1,3.10,0
CC0103,Coral Sea Services,Real Estate,NSW,4,DataVault,11906.84,Premium,3,2.40,0
CC0104,Southern Cross Services,Agriculture,VIC,4,DataVault + CloudSync,7205.94,Standard,5,2.40,1
CC0105,Limestone Consulting,Healthcare,WA,26,DataVault,2267.86,Basic,2,2.10,0
CC0106,Margaret Digital,Technology,VIC,29,DataVault,33202.27,Enterprise,1,4.60,0
CC0107,Red Centre Technologies,Retail,QLD,57,DataVault + Analytics Pro,6242.61,Standard,4,3.10,0
CC0108,Barossa Group,Hospitality,VIC,41,CloudSync,26271.16,Enterprise,1,3.40,0
CC0109,Margaret Capital,Real Estate,NSW,64,DataVault + CloudSync,6765.64,Standard,4,3.60,0
CC0110,Daintree Cooperative,Education,VIC,96,Analytics Pro + CloudSync,5199.68,Standard,8,2.90,0
CC0111,Darwin Harbour Digital,Finance & Insurance,NSW,56,Analytics Pro,11156.37,Premium,1,3.30,0
CC0112,Flinders Industries,Real Estate,VIC,60,CloudSync,10809.26,Premium,0,3.60,0
CC0113,Tasman Holdings,Retail,VIC,25,DataVault + Analytics Pro + CloudSync,7302.10,Standard,3,3.20,0
CC0114,Tasman Solutions,Agriculture,WA,49,Analytics Pro + CloudSync,2107.14,Basic,5,2.00,0
CC0115,Margaret Solutions,Real Estate,NSW,39,Analytics Pro + CloudSync,7002.37,Standard,2,3.70,0
CC0116,Mallee Logistics,Education,QLD,14,DataVault + Analytics Pro + CloudSync,7908.64,Standard,7,1.40,0
CC0117,Margaret Technologies,Hospitality,VIC,58,DataVault + Analytics Pro + CloudSync,6574.86,Standard,5,2.70,0
CC0118,Capricorn Digital,Mining & Resources,QLD,22,DataVault,12207.96,Premium,3,2.30,0
CC0119,Outback Systems,Manufacturing,VIC,36,DataVault + CloudSync,6735.84,Standard,3,2.80,1
CC0120,Daintree Technologies,Construction,QLD,28,Analytics Pro,30057.87,Enterprise,2,3.10,0
CC0121,Kimberley Holdings,Manufacturing,NSW,26,Analytics Pro + CloudSync,29224.73,Enterprise,5,2.50,1
CC0122,Eucalypt Partners,Healthcare,VIC,8,DataVault + Analytics Pro + CloudSync,15748.48,Premium,6,2.00,0
CC0123,Darwin Harbour Partners,Media & Communications,SA,51,DataVault + Analytics Pro,15833.16,Premium,1,4.20,0
CC0124,Bluegum Enterprises,Government,VIC,8,DataVault + Analytics Pro + CloudSync,34738.00,Enterprise,2,2.10,1
CC0125,Glasshouse Partners,Education,NSW,5,DataVault + Analytics Pro + CloudSync,15142.57,Premium,5,1.60,1
CC0126,Grampians Trading,Construction,QLD,27,DataVault + CloudSync,5214.80,Standard,2,2.60,0
CC0127,Snowy Mountain Digital,Agriculture,NSW,26,DataVault,29510.54,Enterprise,3,3.10,0
CC0128,Coorong Technologies,Hospitality,VIC,5,DataVault + Analytics Pro + CloudSync,3392.64,Basic,3,1.40,0
CC0129,Coral Coast Services,Education,WA,48,DataVault,4298.95,Standard,0,2.90,0
CC0130,Swan River Consulting,Technology,VIC,21,DataVault,2216.14,Basic,9,1.20,1
CC0131,Esperance Holdings,Agriculture,NSW,46,DataVault + Analytics Pro,5439.46,Standard,6,3.00,0
CC0132,Snowy Mountain Consulting,Real Estate,SA,13,DataVault + Analytics Pro + CloudSync,19486.70,Premium,2,2.20,0
CC0133,Glasshouse Digital,Logistics & Transport,QLD,56,DataVault + CloudSync,2476.37,Basic,4,3.80,0
CC0134,Snowy Mountain Systems,Manufacturing,NSW,20,DataVault + Analytics Pro,5974.58,Standard,7,2.30,1
CC0135,Coral Sea Systems,Mining & Resources,VIC,23,DataVault + Analytics Pro,5939.74,Standard,3,2.50,0
CC0136,Tasman Systems,Retail,NSW,8,DataVault + Analytics Pro + CloudSync,6458.58,Standard,8,1.00,1
CC0137,Red Centre Cooperative,Finance & Insurance,NSW,47,DataVault + Analytics Pro,13071.37,Premium,2,3.80,0
CC0138,Carnarvon Industries,Education,QLD,36,DataVault + Analytics Pro + CloudSync,8801.64,Standard,5,2.00,1
CC0139,Wannon Services,Healthcare,QLD,9,DataVault,1815.52,Basic,5,2.00,1
CC0140,Outback Industries,Healthcare,NSW,10,DataVault,5924.67,Standard,3,3.20,1
CC0141,Wannon Group,Finance & Insurance,VIC,40,Analytics Pro,5645.55,Standard,2,3.30,0
CC0142,Southern Cross Consulting,Hospitality,SA,52,Analytics Pro,13029.18,Premium,2,4.00,0
CC0143,Mallee Partners,Healthcare,QLD,53,DataVault + Analytics Pro + CloudSync,11752.28,Premium,6,2.70,0
CC0144,Darwin Harbour Technologies,Logistics & Transport,WA,21,DataVault + Analytics Pro,5643.78,Standard,3,3.10,0
CC0145,Barossa Consulting,Hospitality,VIC,21,CloudSync,4850.39,Standard,4,2.80,0
CC0146,Darwin Harbour Systems,Hospitality,SA,21,DataVault + Analytics Pro,2313.01,Basic,2,2.10,0
CC0147,Capricorn Systems,Retail,QLD,30,CloudSync,2278.50,Basic,4,2.90,0
CC0148,Harbour Cooperative,Mining & Resources,QLD,39,DataVault + Analytics Pro,7219.37,Standard,3,2.10,0
CC0149,Esperance Logistics,Construction,VIC,34,Analytics Pro + CloudSync,7792.94,Standard,4,2.20,0
CC0150,Barrier Reef Services,Media & Communications,QLD,35,DataVault + Analytics Pro,6971.80,Standard,3,3.20,0
CC0151,Limestone Digital,Government,NSW,24,Analytics Pro,11161.21,Premium,1,2.80,0
CC0152,Eucalypt Capital,Manufacturing,VIC,23,Analytics Pro + CloudSync,7191.58,Standard,4,2.40,0
CC0153,Gippsland Trading,Construction,VIC,65,CloudSync,5515.25,Standard,4,3.40,0
CC0154,Darwin Harbour Cooperative,Government,VIC,18,DataVault + Analytics Pro,6785.53,Standard,4,2.30,0
CC0155,Margaret Holdings,Education,VIC,10,Analytics Pro,5644.10,Standard,4,2.40,0
CC0156,Red Centre Partners,Professional Services,VIC,24,Analytics Pro,6506.55,Standard,5,2.50,0
CC0157,Bluegum Logistics,Mining & Resources,QLD,46,DataVault + Analytics Pro,5411.01,Standard,7,2.30,0
CC0158,Goldfields Solutions,Mining & Resources,NSW,6,Analytics Pro + CloudSync,7243.04,Standard,3,3.10,0
CC0159,Carnarvon Consulting,Education,WA,17,DataVault + CloudSync,36838.67,Enterprise,9,1.40,0
CC0160,Barrier Reef Solutions,Manufacturing,WA,25,DataVault + Analytics Pro + CloudSync,3652.98,Basic,6,1.60,1
CC0161,Daintree Capital,Logistics & Transport,NSW,26,DataVault + Analytics Pro,2911.07,Basic,1,2.80,1
CC0162,Adelaide Hills Consulting,Logistics & Transport,NSW,30,CloudSync,5846.87,Standard,3,3.00,1
CC0163,Gippsland Capital,Finance & Insurance,NSW,16,DataVault + Analytics Pro + CloudSync,36899.40,Enterprise,7,2.30,1
CC0164,Kimberley Consulting,Healthcare,QLD,20,DataVault + Analytics Pro,12771.63,Premium,0,3.00,0
CC0165,Esperance Capital,Mining & Resources,NSW,96,DataVault,30814.78,Enterprise,2,5.00,0
CC0166,Coorong Group,Real Estate,VIC,27,DataVault + CloudSync,13775.73,Premium,3,2.70,0
CC0167,Carnarvon Capital,Logistics & Transport,VIC,12,Analytics Pro,5869.88,Standard,4,1.90,0
CC0168,Carnarvon Trading,Government,QLD,16,DataVault,12527.70,Premium,1,3.20,0
CC0169,Fremantle Consulting,Manufacturing,QLD,25,DataVault,5365.03,Standard,1,2.90,0
CC0170,Swan River Capital,Media & Communications,NSW,32,DataVault + Analytics Pro + CloudSync,33421.77,Enterprise,1,3.40,1
CC0171,Daintree Digital,Technology,QLD,37,DataVault + Analytics Pro + CloudSync,7271.46,Standard,5,2.00,0
CC0172,Limestone Logistics,Professional Services,QLD,18,DataVault + Analytics Pro + CloudSync,8996.13,Standard,9,1.40,0
CC0173,Bluegum Partners,Manufacturing,NSW,5,Analytics Pro,5429.67,Standard,2,2.30,1
CC0174,Tasman Group,Technology,VIC,37,CloudSync,12469.42,Premium,2,3.10,0
CC0175,Yarra Enterprises,Government,NSW,26,CloudSync,10341.96,Premium,2,3.00,0
CC0176,Sunshine Coast Technologies,Media & Communications,NSW,19,DataVault + CloudSync,6315.71,Standard,1,3.50,1
CC0177,Bondi Capital,Manufacturing,VIC,52,DataVault + Analytics Pro,6170.06,Standard,4,3.80,0
CC0178,Red Centre Industries,Retail,QLD,23,DataVault + Analytics Pro + CloudSync,9066.57,Standard,1,2.30,0
CC0179,Esperance Technologies,Mining & Resources,SA,26,Analytics Pro,4566.10,Standard,1,3.20,0
CC0180,Darwin Harbour Group,Education,SA,23,Analytics Pro + CloudSync,7433.97,Standard,3,2.90,0
CC0181,Limestone Solutions,Professional Services,NSW,22,Analytics Pro,4755.65,Standard,5,1.90,0
CC0182,Goldfields Logistics,Healthcare,QLD,52,DataVault,11125.72,Premium,3,3.50,0
CC0183,Capricorn Trading,Finance & Insurance,VIC,13,CloudSync,5106.47,Standard,1,3.00,0
CC0184,Outback Group,Technology,VIC,22,DataVault + Analytics Pro + CloudSync,32602.77,Enterprise,0,3.90,0
CC0185,Eucalypt Services,Manufacturing,NSW,21,DataVault,4789.36,Standard,4,3.10,0
CC0186,Red Centre Group,Education,WA,39,Analytics Pro + CloudSync,13439.03,Premium,2,2.60,1
CC0187,Glasshouse Consulting,Healthcare,VIC,13,Analytics Pro,12542.04,Premium,4,2.80,0
CC0188,Coral Coast Holdings,Logistics & Transport,NSW,44,DataVault + Analytics Pro,15216.76,Premium,1,4.60,0
CC0189,Fremantle Holdings,Government,VIC,60,DataVault + Analytics Pro,2902.27,Basic,2,3.30,0
CC0190,Daintree Partners,Professional Services,QLD,68,CloudSync,28206.07,Enterprise,0,4.50,0
CC0191,Limestone Industries,Finance & Insurance,NSW,25,Analytics Pro,11384.62,Premium,1,3.70,0
CC0192,Yarra Capital,Construction,QLD,16,CloudSync,11612.81,Premium,4,2.40,0
CC0193,Margaret Enterprises,Finance & Insurance,WA,45,DataVault + CloudSync,10976.76,Premium,7,1.60,0
CC0194,Coorong Holdings,Media & Communications,WA,48,DataVault + Analytics Pro + CloudSync,6555.43,Standard,4,3.40,0
CC0195,Coral Sea Solutions,Government,NSW,36,DataVault + CloudSync,41884.25,Enterprise,5,2.50,0
CC0196,Wagga Digital,Professional Services,NSW,12,DataVault + CloudSync,6369.17,Standard,7,2.20,0
CC0197,Capricorn Technologies,Logistics & Transport,VIC,26,DataVault,10082.21,Premium,2,3.20,0
CC0198,Kimberley Logistics,Manufacturing,SA,45,DataVault + Analytics Pro + CloudSync,15553.40,Premium,7,2.50,0
CC0199,Coorong Consulting,Manufacturing,WA,19,DataVault + CloudSync,6725.24,Standard,1,2.50,0
CC0200,Coral Sea Capital,Manufacturing,VIC,68,Analytics Pro,2095.40,Basic,5,2.50,0
CC0201,Kangaroo Cooperative,Agriculture,NSW,17,DataVault,5342.13,Standard,7,2.20,0
CC0202,Murray River Holdings,Government,NSW,55,CloudSync,8151.62,Premium,4,3.30,1
CC0203,Daintree Industries,Professional Services,QLD,54,Analytics Pro + CloudSync,2759.01,Basic,6,2.30,1
CC0204,Coral Coast Industries,Retail,VIC,15,Analytics Pro,6005.71,Standard,5,2.80,0
CC0205,Mallee Holdings,Professional Services,VIC,4,Analytics Pro,4908.82,Standard,3,2.10,1
CC0206,Grampians Group,Media & Communications,SA,34,CloudSync,1581.89,Basic,4,2.10,1
CC0207,Tasman Capital,Healthcare,VIC,88,DataVault + CloudSync,13022.60,Premium,1,3.60,0
CC0208,Bluegum Consulting,Real Estate,QLD,31,DataVault,5562.76,Standard,3,2.50,0
CC0209,Grampians Logistics,Education,SA,73,DataVault,11169.30,Premium,2,4.10,0
CC0210,Fremantle Enterprises,Real Estate,VIC,7,DataVault,3982.42,Standard,0,2.80,0
CC0211,Bluegum Holdings,Retail,NSW,59,DataVault + CloudSync,2744.02,Basic,4,2.90,0
CC0212,Mallee Technologies,Hospitality,QLD,32,CloudSync,1972.30,Basic,4,2.30,0
CC0213,Swan River Digital,Education,VIC,33,CloudSync,6178.62,Standard,4,1.80,0
CC0214,Pilbara Trading,Manufacturing,WA,82,DataVault,9992.20,Premium,2,3.50,0
CC0215,Bluegum Services,Real Estate,NSW,20,Analytics Pro + CloudSync,11637.00,Premium,3,2.50,0
CC0216,Harbour Capital,Real Estate,NSW,53,Analytics Pro + CloudSync,6088.75,Standard,4,3.50,0
CC0217,Harbour Solutions,Media & Communications,VIC,61,DataVault,12557.63,Premium,4,3.40,0
CC0218,Bondi Holdings,Retail,VIC,22,Analytics Pro,26758.94,Enterprise,3,4.00,0
CC0219,Wagga Systems,Finance & Insurance,VIC,31,DataVault + CloudSync,25679.38,Enterprise,3,3.40,0
CC0220,Grampians Industries,Retail,NSW,43,DataVault + Analytics Pro + CloudSync,6748.06,Standard,5,2.40,0
CC0221,Coral Coast Enterprises,Government,WA,17,DataVault + Analytics Pro + CloudSync,7995.02,Standard,5,1.90,0
CC0222,Bondi Consulting,Finance & Insurance,VIC,23,Analytics Pro,5812.49,Standard,2,3.00,0
CC0223,Sunshine Coast Trading,Healthcare,WA,42,DataVault,11762.56,Premium,2,3.00,0
CC0224,Yarra Holdings,Retail,VIC,17,DataVault,12124.29,Premium,3,3.00,0
CC0225,Eucalypt Technologies,Education,NSW,20,Analytics Pro,12105.81,Premium,2,2.60,0
CC0226,Hunter Valley Group,Technology,WA,12,Analytics Pro + CloudSync,2807.31,Basic,9,1.00,1
CC0227,Flinders Systems,Logistics & Transport,NSW,32,DataVault,5433.92,Standard,6,2.30,0
CC0228,Wagga Industries,Healthcare,QLD,30,DataVault,6079.80,Standard,4,2.60,0
CC0229,Coral Sea Enterprises,Healthcare,QLD,80,DataVault + CloudSync,14082.30,Premium,3,4.60,0
CC0230,Southern Cross Enterprises,Technology,QLD,53,CloudSync,34584.58,Enterprise,1,3.80,0
CC0231,Limestone Technologies,Construction,NSW,19,Analytics Pro,1925.71,Basic,2,2.70,1
CC0232,Yarra Digital,Logistics & Transport,VIC,50,CloudSync,10679.88,Premium,4,3.30,1
CC0233,Torres Holdings,Professional Services,WA,13,CloudSync,1936.65,Basic,11,1.00,1
CC0234,Gippsland Partners,Retail,NSW,53,Analytics Pro,5255.60,Standard,4,2.80,1
CC0235,Snowy Mountain Technologies,Education,VIC,55,DataVault,1864.59,Basic,3,3.90,0
CC0236,Snowy Mountain Solutions,Education,QLD,16,DataVault + Analytics Pro + CloudSync,3379.77,Basic,7,2.20,1
CC0237,Fremantle Cooperative,Education,NSW,22,Analytics Pro + CloudSync,28105.99,Enterprise,5,3.20,0
CC0238,Outback Trading,Real Estate,VIC,61,DataVault,4676.45,Standard,1,4.20,0
CC0239,Gippsland Systems,Education,QLD,26,Analytics Pro + CloudSync,34449.54,Enterprise,3,3.50,0
CC0240,Darwin Harbour Consulting,Retail,VIC,12,Analytics Pro,10875.96,Premium,2,2.90,0
CC0241,Wagga Enterprises,Agriculture,QLD,16,DataVault + Analytics Pro + CloudSync,2264.38,Basic,9,1.00,1
CC0242,Red Centre Capital,Manufacturing,SA,26,Analytics Pro,5540.16,Standard,0,3.70,0
CC0243,Coral Coast Consulting,Manufacturing,QLD,56,DataVault + Analytics Pro + CloudSync,15638.44,Premium,3,3.70,0
CC0244,Gippsland Logistics,Professional Services,SA,26,CloudSync,2249.65,Basic,3,2.10,1
CC0245,Torres Solutions,Government,NSW,28,DataVault + CloudSync,6034.53,Standard,6,1.40,1
CC0246,Grampians Technologies,Agriculture,SA,21,DataVault + CloudSync,7179.17,Standard,3,2.50,0
CC0247,Grampians Holdings,Mining & Resources,VIC,27,DataVault + CloudSync,13265.25,Premium,2,2.40,0
CC0248,Torres Partners,Logistics & Transport,SA,5,CloudSync,1686.69,Basic,6,1.60,0
CC0249,Sunshine Coast Cooperative,Construction,WA,19,DataVault + Analytics Pro + CloudSync,3240.96,Basic,8,1.80,1
CC0250,Pilbara Holdings,Hospitality,NSW,16,DataVault + Analytics Pro + CloudSync,8052.19,Standard,7,1.80,0
CC0251,Yarra Partners,Professional Services,QLD,27,DataVault + CloudSync,5964.67,Standard,4,1.90,0
CC0252,Tasman Technologies,Hospitality,QLD,32,Analytics Pro,5518.43,Standard,0,3.90,0
CC0253,Hunter Valley Logistics,Hospitality,NSW,25,Analytics Pro,11326.71,Premium,2,3.00,0
CC0254,Harbour Partners,Healthcare,QLD,14,Analytics Pro,5166.28,Standard,2,2.90,0
CC0255,Barossa Industries,Hospitality,NSW,22,CloudSync,6236.68,Standard,2,2.40,0
CC0256,Daintree Systems,Manufacturing,VIC,96,CloudSync,9758.79,Premium,7,2.90,0
CC0257,Goldfields Holdings,Real Estate,VIC,7,DataVault + Analytics Pro + CloudSync,3195.50,Basic,1,2.70,0
CC0258,Coral Coast Capital,Construction,NSW,14,Analytics Pro,5606.44,Standard,2,3.50,1
