ticket_id,customer_id,date,product,region,channel,priority,resolution_hours,satisfaction_rating,ticket_text
TK0177,CC0087,2025-02-11,CloudSync,NSW,Portal,Medium,18.30,2,[CloudSync] Took far too long to resolve and disrupted our operations significantly.
TK0391,CC0175,2025-02-11,CloudSync,NSW,Portal,Medium,9.40,4,"[CloudSync] Very professional service, communication was clear and timely."
TK0308,CC0339,2025-02-12,CloudSync,NSW,Email,Medium,4.70,4,[CloudSync] Fixed within the hour and followed up to confirm everything was working.
TK0058,CC0361,2025-02-13,CloudSync,WA,Phone,High,5.70,5,[CloudSync] Fixed within the hour and followed up to confirm everything was working.
TK0363,CC0208,2025-02-16,DataVault,QLD,Phone,Medium,11.50,4,"[DataVault] Very professional service, communication was clear and timely."
TK0124,CC0255,2025-02-17,CloudSync,NSW,Chat,Low,29.30,3,"[CloudSync] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0097,CC0390,2025-02-22,DataVault,VIC,Phone,Medium,8.50,3,"[DataVault] It works now, though the process felt a bit clunky."
TK0116,CC0032,2025-03-13,CloudSync,NSW,Phone,Medium,8.30,3,"[CloudSync] It works now, though the process felt a bit clunky."
TK0220,CC0264,2025-03-15,Analytics Pro,QLD,Email,Critical,2.50,4,"[Analytics Pro] Painless process, would recommend CloudCore support to anyone."
TK0069,CC0010,2025-03-16,CloudSync,NSW,Email,Low,61.60,3,"[CloudSync] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0273,CC0316,2025-03-16,Analytics Pro,NSW,Chat,High,4.80,4,"[Analytics Pro] Painless process, would recommend CloudCore support to anyone."
TK0001,CC0060,2025-03-17,DataVault,SA,Portal,Medium,15.40,3,"[DataVault] Problem was addressed eventually, response time could be better."
TK0300,CC0109,2025-03-17,DataVault,NSW,Email,Low,43.10,3,[DataVault] Resolved but took longer than expected to get a response.
TK0393,CC0024,2025-03-17,Analytics Pro,VIC,Email,Low,43.20,4,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0180,CC0256,2025-03-18,CloudSync,VIC,Phone,High,9.00,4,"[CloudSync] Issue resolved quickly, team was responsive and helpful throughout."
TK0251,CC0374,2025-03-18,CloudSync,VIC,Portal,Low,37.70,2,"[CloudSync] Not happy with the handling, communication was poor throughout."
TK0109,CC0149,2025-03-19,Analytics Pro,VIC,Portal,Low,12.80,3,"[Analytics Pro] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0125,CC0151,2025-03-21,Analytics Pro,NSW,Portal,Medium,11.60,5,"[Analytics Pro] Great support experience, engineer understood the problem immediately."
TK0210,CC0278,2025-03-25,CloudSync,VIC,Portal,Medium,13.30,4,[CloudSync] Fixed within the hour and followed up to confirm everything was working.
TK0024,CC0251,2025-03-30,DataVault,QLD,Phone,Low,20.80,4,"[DataVault] Great support experience, engineer understood the problem immediately."
TK0044,CC0260,2025-03-30,CloudSync,SA,Portal,Low,49.50,3,[CloudSync] Resolved but took longer than expected to get a response.
TK0225,CC0291,2025-03-30,DataVault,NSW,Portal,Medium,11.70,4,"[DataVault] Issue resolved quickly, team was responsive and helpful throughout."
TK0054,CC0228,2025-04-02,DataVault,QLD,Email,High,5.50,4,"[DataVault] Very professional service, communication was clear and timely."
TK0017,CC0247,2025-04-04,DataVault,VIC,Portal,Low,31.10,4,"[DataVault] Very professional service, communication was clear and timely."
TK0096,CC0137,2025-04-04,Analytics Pro,NSW,Phone,Medium,8.90,3,"[Analytics Pro] Problem was addressed eventually, response time could be better."
TK0005,CC0134,2025-04-06,DataVault,NSW,Portal,High,3.40,5,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0366,CC0235,2025-04-06,DataVault,VIC,Phone,Low,41.50,3,"[DataVault] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0174,CC0122,2025-04-09,Analytics Pro,VIC,Email,Medium,2.50,3,"[Analytics Pro] Problem was addressed eventually, response time could be better."
TK0374,CC0104,2025-04-10,CloudSync,VIC,Chat,Low,61.10,2,"[CloudSync] Frustrating experience, had to follow up multiple times for a simple fix."
TK0279,CC0005,2025-04-12,CloudSync,VIC,Portal,Medium,14.30,2,[CloudSync] Took far too long to resolve and disrupted our operations significantly.
TK0075,CC0059,2025-04-17,CloudSync,NSW,Email,Low,25.50,2,[CloudSync] Support did not seem to understand the urgency of our situation.
TK0361,CC0336,2025-04-23,DataVault,SA,Chat,High,4.10,4,"[DataVault] Issue resolved quickly, team was responsive and helpful throughout."
TK0392,CC0399,2025-04-23,DataVault,NSW,Portal,Medium,13.80,4,"[DataVault] Very professional service, communication was clear and timely."
TK0250,CC0325,2025-04-24,Analytics Pro,QLD,Phone,High,4.60,3,"[Analytics Pro] It works now, though the process felt a bit clunky."
TK0055,CC0081,2025-04-25,CloudSync,SA,Portal,Critical,6.00,4,"[CloudSync] Painless process, would recommend CloudCore support to anyone."
TK0219,CC0153,2025-04-25,CloudSync,VIC,Email,Medium,14.70,3,[CloudSync] Resolved but took longer than expected to get a response.
TK0110,CC0379,2025-04-27,CloudSync,WA,Portal,Medium,20.70,5,"[CloudSync] Great support experience, engineer understood the problem immediately."
TK0164,CC0155,2025-04-29,Analytics Pro,VIC,Chat,Medium,15.70,3,"[Analytics Pro] Support was okay, had to explain the situation more than once."
TK0013,CC0165,2025-05-03,DataVault,NSW,Portal,Medium,17.50,5,"[DataVault] Issue resolved quickly, team was responsive and helpful throughout."
TK0047,CC0189,2025-05-04,DataVault,VIC,Portal,Medium,8.20,3,"[DataVault] Problem was addressed eventually, response time could be better."
TK0165,CC0107,2025-05-05,DataVault,QLD,Phone,High,7.60,3,"[DataVault] Problem was addressed eventually, response time could be better."
TK0175,CC0355,2025-05-06,CloudSync,VIC,Phone,Medium,8.90,4,"[CloudSync] Issue resolved quickly, team was responsive and helpful throughout."
TK0335,CC0400,2025-05-06,Analytics Pro,NSW,Chat,Medium,5.30,5,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0106,CC0114,2025-05-07,Analytics Pro,WA,Chat,Low,33.10,3,"[Analytics Pro] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0307,CC0321,2025-05-08,Analytics Pro,QLD,Chat,High,2.30,4,"[Analytics Pro] Painless process, would recommend CloudCore support to anyone."
TK0168,CC0022,2025-05-10,DataVault,WA,Phone,Medium,9.60,3,"[DataVault] It works now, though the process felt a bit clunky."
TK0283,CC0109,2025-05-18,DataVault,NSW,Email,Medium,9.80,4,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0301,CC0151,2025-05-18,Analytics Pro,NSW,Portal,Medium,8.00,4,"[Analytics Pro] Very professional service, communication was clear and timely."
TK0137,CC0061,2025-05-19,Analytics Pro,NSW,Phone,Medium,12.50,3,"[Analytics Pro] Problem was addressed eventually, response time could be better."
TK0272,CC0059,2025-05-19,CloudSync,NSW,Phone,Medium,8.50,4,"[CloudSync] Issue resolved quickly, team was responsive and helpful throughout."
TK0173,CC0175,2025-05-20,CloudSync,NSW,Phone,High,5.60,5,"[CloudSync] Painless process, would recommend CloudCore support to anyone."
TK0263,CC0114,2025-05-20,Analytics Pro,WA,Portal,Medium,13.20,3,"[Analytics Pro] It works now, though the process felt a bit clunky."
TK0098,CC0255,2025-05-23,CloudSync,NSW,Email,High,10.70,4,"[CloudSync] Great support experience, engineer understood the problem immediately."
TK0227,CC0245,2025-05-23,CloudSync,NSW,Chat,Low,38.30,3,"[CloudSync] Support was okay, had to explain the situation more than once."
TK0285,CC0093,2025-05-23,Analytics Pro,VIC,Portal,Medium,10.60,3,"[Analytics Pro] Support was okay, had to explain the situation more than once."
TK0306,CC0334,2025-05-29,CloudSync,WA,Phone,Medium,8.80,3,"[CloudSync] It works now, though the process felt a bit clunky."
TK0317,CC0166,2025-05-30,DataVault,VIC,Portal,Medium,12.90,5,"[DataVault] Great support experience, engineer understood the problem immediately."
TK0389,CC0134,2025-06-03,Analytics Pro,NSW,Chat,Medium,6.60,4,"[Analytics Pro] Painless process, would recommend CloudCore support to anyone."
TK0169,CC0040,2025-06-04,DataVault,VIC,Chat,Low,28.00,5,"[DataVault] Great support experience, engineer understood the problem immediately."
TK0036,CC0383,2025-06-06,CloudSync,QLD,Portal,High,6.70,4,"[CloudSync] Great support experience, engineer understood the problem immediately."
TK0014,CC0248,2025-06-08,CloudSync,SA,Phone,Low,53.70,2,"[CloudSync] Not happy with the handling, communication was poor throughout."
TK0276,CC0193,2025-06-12,DataVault,WA,Email,Low,28.50,4,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0048,CC0026,2025-06-17,Analytics Pro,QLD,Email,Medium,9.70,4,"[Analytics Pro] Very professional service, communication was clear and timely."
TK0056,CC0248,2025-06-18,CloudSync,SA,Phone,Low,34.90,3,"[CloudSync] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0160,CC0318,2025-06-18,DataVault,WA,Phone,Medium,16.70,4,"[DataVault] Very professional service, communication was clear and timely."
TK0216,CC0249,2025-06-18,Analytics Pro,WA,Phone,High,6.60,4,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0122,CC0193,2025-06-20,DataVault,WA,Chat,Low,51.60,2,"[DataVault] Frustrating experience, had to follow up multiple times for a simple fix."
TK0235,CC0016,2025-06-20,Analytics Pro,NSW,Email,Medium,10.60,4,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0351,CC0055,2025-06-20,CloudSync,VIC,Email,Medium,20.50,4,"[CloudSync] Issue resolved quickly, team was responsive and helpful throughout."
TK0104,CC0138,2025-06-22,Analytics Pro,QLD,Phone,Low,43.40,3,"[Analytics Pro] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0118,CC0020,2025-06-23,DataVault,NSW,Email,Medium,11.50,5,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0136,CC0300,2025-06-23,Analytics Pro,VIC,Email,Medium,5.30,4,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0275,CC0172,2025-06-26,Analytics Pro,QLD,Portal,Medium,9.30,4,"[Analytics Pro] Painless process, would recommend CloudCore support to anyone."
TK0387,CC0172,2025-06-26,DataVault,QLD,Email,Critical,3.20,5,"[DataVault] Issue resolved quickly, team was responsive and helpful throughout."
TK0338,CC0391,2025-07-06,Analytics Pro,VIC,Email,Low,34.30,3,"[Analytics Pro] Support was okay, had to explain the situation more than once."
TK0359,CC0196,2025-07-06,DataVault,NSW,Email,Medium,13.40,3,"[DataVault] It works now, though the process felt a bit clunky."
TK0127,CC0111,2025-07-10,Analytics Pro,NSW,Portal,Low,46.40,3,"[Analytics Pro] Problem was addressed eventually, response time could be better."
TK0134,CC0213,2025-07-10,CloudSync,VIC,Email,Low,37.00,3,"[CloudSync] Problem was addressed eventually, response time could be better."
TK0215,CC0338,2025-07-14,CloudSync,WA,Phone,Critical,4.00,5,"[CloudSync] Very professional service, communication was clear and timely."
TK0242,CC0362,2025-07-14,CloudSync,SA,Phone,Medium,10.90,3,"[CloudSync] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0049,CC0325,2025-07-16,Analytics Pro,QLD,Email,High,4.90,3,"[Analytics Pro] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0101,CC0138,2025-07-16,DataVault,QLD,Phone,Medium,9.60,4,"[DataVault] Great support experience, engineer understood the problem immediately."
TK0100,CC0031,2025-07-20,Analytics Pro,QLD,Portal,Medium,10.00,3,"[Analytics Pro] Problem was addressed eventually, response time could be better."
TK0339,CC0088,2025-07-21,Analytics Pro,NSW,Phone,Critical,2.50,3,"[Analytics Pro] It works now, though the process felt a bit clunky."
TK0290,CC0093,2025-07-22,CloudSync,VIC,Email,Low,48.90,3,"[CloudSync] Problem was addressed eventually, response time could be better."
TK0068,CC0367,2025-07-25,Analytics Pro,NSW,Phone,Medium,20.80,3,"[Analytics Pro] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0380,CC0377,2025-07-26,CloudSync,QLD,Email,High,8.00,5,"[CloudSync] Painless process, would recommend CloudCore support to anyone."
TK0384,CC0202,2025-07-27,CloudSync,NSW,Phone,Medium,15.20,4,[CloudSync] Fixed within the hour and followed up to confirm everything was working.
TK0021,CC0265,2025-07-31,Analytics Pro,NSW,Portal,Medium,17.40,4,"[Analytics Pro] Issue resolved quickly, team was responsive and helpful throughout."
TK0190,CC0233,2025-08-01,CloudSync,WA,Portal,Medium,11.10,4,[CloudSync] Fixed within the hour and followed up to confirm everything was working.
TK0061,CC0029,2025-08-04,Analytics Pro,VIC,Email,Medium,10.40,4,"[Analytics Pro] Issue resolved quickly, team was responsive and helpful throughout."
TK0310,CC0016,2025-08-09,Analytics Pro,NSW,Chat,Medium,12.10,4,"[Analytics Pro] Painless process, would recommend CloudCore support to anyone."
TK0057,CC0318,2025-08-10,Analytics Pro,WA,Phone,Medium,11.30,4,"[Analytics Pro] Very professional service, communication was clear and timely."
TK0295,CC0294,2025-08-17,CloudSync,NSW,Email,Medium,9.10,4,"[CloudSync] Painless process, would recommend CloudCore support to anyone."
TK0090,CC0385,2025-08-19,Analytics Pro,QLD,Portal,High,4.80,3,"[Analytics Pro] Problem was addressed eventually, response time could be better."
TK0039,CC0096,2025-08-20,DataVault,NSW,Chat,Medium,3.10,4,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0113,CC0303,2025-08-20,Analytics Pro,NSW,Email,Medium,7.60,5,"[Analytics Pro] Great support experience, engineer understood the problem immediately."
TK0303,CC0294,2025-08-20,CloudSync,NSW,Email,Low,26.50,2,"[CloudSync] Not happy with the handling, communication was poor throughout."
TK0011,CC0270,2025-08-22,CloudSync,NSW,Chat,Medium,21.00,5,"[CloudSync] Painless process, would recommend CloudCore support to anyone."
TK0063,CC0314,2025-08-22,Analytics Pro,NSW,Portal,Medium,16.40,5,"[Analytics Pro] Very professional service, communication was clear and timely."
TK0214,CC0022,2025-08-22,DataVault,WA,Portal,Low,34.50,2,[DataVault] Slow response and the issue kept recurring after the supposed fix.
TK0379,CC0382,2025-08-24,DataVault,SA,Email,Medium,9.20,3,"[DataVault] Problem was addressed eventually, response time could be better."
TK0126,CC0228,2025-08-26,DataVault,QLD,Phone,Medium,12.00,4,"[DataVault] Painless process, would recommend CloudCore support to anyone."
TK0271,CC0265,2025-08-26,DataVault,NSW,Phone,Low,23.00,3,[DataVault] Resolved but took longer than expected to get a response.
TK0143,CC0039,2025-08-29,Analytics Pro,WA,Email,Medium,17.70,4,"[Analytics Pro] Painless process, would recommend CloudCore support to anyone."
TK0144,CC0177,2025-08-30,DataVault,VIC,Email,High,3.50,4,"[DataVault] Very professional service, communication was clear and timely."
TK0358,CC0159,2025-09-01,DataVault,WA,Email,Medium,13.50,5,"[DataVault] Very professional service, communication was clear and timely."
TK0162,CC0159,2025-09-02,CloudSync,WA,Email,Low,36.40,4,"[CloudSync] Great support experience, engineer understood the problem immediately."
TK0132,CC0312,2025-09-04,CloudSync,NSW,Email,High,7.40,3,"[CloudSync] Problem was addressed eventually, response time could be better."
TK0051,CC0374,2025-09-12,Analytics Pro,VIC,Portal,High,0.10,4,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0199,CC0059,2025-09-12,CloudSync,NSW,Email,Low,19.70,3,"[CloudSync] It works now, though the process felt a bit clunky."
TK0311,CC0034,2025-09-12,DataVault,QLD,Phone,High,6.50,3,[DataVault] Resolved but took longer than expected to get a response.
TK0342,CC0267,2025-09-12,DataVault,WA,Email,Low,29.30,3,[DataVault] Resolved but took longer than expected to get a response.
TK0072,CC0178,2025-09-13,DataVault,QLD,Portal,High,3.50,3,[DataVault] Resolved but took longer than expected to get a response.
TK0032,CC0060,2025-09-14,DataVault,SA,Portal,High,1.80,4,"[DataVault] Issue resolved quickly, team was responsive and helpful throughout."
TK0038,CC0119,2025-09-16,DataVault,VIC,Portal,Medium,14.50,2,[DataVault] Took far too long to resolve and disrupted our operations significantly.
TK0198,CC0063,2025-09-16,DataVault,VIC,Email,Low,28.80,3,"[DataVault] Support was okay, had to explain the situation more than once."
TK0176,CC0133,2025-09-17,DataVault,QLD,Portal,Low,42.60,2,"[DataVault] Frustrating experience, had to follow up multiple times for a simple fix."
TK0257,CC0264,2025-09-17,Analytics Pro,QLD,Phone,Critical,1.20,3,"[Analytics Pro] It works now, though the process felt a bit clunky."
TK0316,CC0313,2025-09-17,DataVault,SA,Phone,High,5.70,3,[DataVault] Resolved but took longer than expected to get a response.
TK0243,CC0330,2025-09-18,Analytics Pro,NSW,Email,Medium,16.50,3,"[Analytics Pro] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0245,CC0387,2025-09-18,CloudSync,QLD,Portal,Medium,15.10,4,"[CloudSync] Issue resolved quickly, team was responsive and helpful throughout."
TK0092,CC0217,2025-09-19,DataVault,VIC,Phone,High,7.30,4,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0197,CC0207,2025-09-19,DataVault,VIC,Email,Critical,1.80,4,"[DataVault] Painless process, would recommend CloudCore support to anyone."
TK0230,CC0339,2025-09-19,CloudSync,NSW,Email,Medium,10.70,3,"[CloudSync] It works now, though the process felt a bit clunky."
TK0148,CC0016,2025-09-20,Analytics Pro,NSW,Email,Medium,7.00,4,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0252,CC0181,2025-09-22,Analytics Pro,NSW,Phone,Medium,12.10,4,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0206,CC0353,2025-09-23,Analytics Pro,NSW,Email,Medium,8.50,3,"[Analytics Pro] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0149,CC0268,2025-09-24,Analytics Pro,WA,Chat,Medium,19.50,3,"[Analytics Pro] It works now, though the process felt a bit clunky."
TK0244,CC0340,2025-09-24,CloudSync,SA,Phone,Medium,12.00,3,"[CloudSync] Support was okay, had to explain the situation more than once."
TK0353,CC0068,2025-09-24,CloudSync,NSW,Email,Medium,9.40,3,"[CloudSync] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0350,CC0297,2025-09-26,CloudSync,NSW,Phone,Low,34.40,3,"[CloudSync] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0385,CC0246,2025-09-27,DataVault,SA,Chat,High,5.80,4,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0062,CC0217,2025-09-28,DataVault,VIC,Email,Medium,11.10,3,"[DataVault] Problem was addressed eventually, response time could be better."
TK0191,CC0350,2025-09-28,CloudSync,NSW,Portal,High,7.80,4,[CloudSync] Fixed within the hour and followed up to confirm everything was working.
TK0205,CC0298,2025-09-28,DataVault,NSW,Phone,Medium,8.80,3,"[DataVault] Support was okay, had to explain the situation more than once."
TK0010,CC0274,2025-09-29,CloudSync,SA,Portal,Medium,3.60,1,[CloudSync] Slow response and the issue kept recurring after the supposed fix.
TK0234,CC0163,2025-09-30,Analytics Pro,NSW,Portal,Medium,8.30,5,"[Analytics Pro] Painless process, would recommend CloudCore support to anyone."
TK0356,CC0154,2025-09-30,Analytics Pro,VIC,Email,Critical,3.00,4,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0093,CC0111,2025-10-01,Analytics Pro,NSW,Email,Low,32.70,4,"[Analytics Pro] Great support experience, engineer understood the problem immediately."
TK0152,CC0016,2025-10-01,Analytics Pro,NSW,Email,Medium,8.80,3,"[Analytics Pro] Support was okay, had to explain the situation more than once."
TK0258,CC0226,2025-10-01,CloudSync,WA,Portal,High,8.80,2,[CloudSync] Took far too long to resolve and disrupted our operations significantly. Worried about credential reset requirements after the incident notification.
TK0107,CC0007,2025-10-02,DataVault,VIC,Portal,High,3.40,1,[DataVault] Slow response and the issue kept recurring after the supposed fix.
TK0326,CC0137,2025-10-02,DataVault,NSW,Phone,Critical,1.20,4,"[DataVault] Issue resolved quickly, team was responsive and helpful throughout."
TK0157,CC0129,2025-10-03,DataVault,WA,Phone,High,2.10,3,"[DataVault] Support was okay, had to explain the situation more than once."
TK0280,CC0352,2025-10-03,Analytics Pro,VIC,Email,Critical,3.30,3,"[Analytics Pro] Problem was addressed eventually, response time could be better."
TK0232,CC0076,2025-10-04,Analytics Pro,VIC,Chat,Low,43.00,2,"[Analytics Pro] Frustrating experience, had to follow up multiple times for a simple fix."
TK0185,CC0100,2025-10-05,DataVault,VIC,Portal,Medium,6.50,4,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0188,CC0019,2025-10-06,Analytics Pro,VIC,Chat,Low,19.80,4,"[Analytics Pro] Great support experience, engineer understood the problem immediately."
TK0192,CC0301,2025-10-06,CloudSync,VIC,Email,High,7.10,2,[CloudSync] Took far too long to resolve and disrupted our operations significantly.
TK0286,CC0320,2025-10-06,DataVault,SA,Email,Critical,3.20,4,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0395,CC0107,2025-10-07,Analytics Pro,QLD,Phone,Critical,5.00,4,"[Analytics Pro] Very professional service, communication was clear and timely."
TK0128,CC0141,2025-10-08,Analytics Pro,VIC,Portal,Medium,12.60,4,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0249,CC0390,2025-10-08,DataVault,VIC,Email,Low,43.40,2,[DataVault] Took far too long to resolve and disrupted our operations significantly.
TK0289,CC0117,2025-10-08,Analytics Pro,VIC,Email,High,3.80,3,[Analytics Pro] Resolved but took longer than expected to get a response.
TK0309,CC0054,2025-10-08,Analytics Pro,WA,Email,High,4.50,3,"[Analytics Pro] It works now, though the process felt a bit clunky."
TK0336,CC0168,2025-10-08,DataVault,QLD,Chat,High,4.10,4,"[DataVault] Great support experience, engineer understood the problem immediately."
TK0372,CC0389,2025-10-08,DataVault,QLD,Chat,Medium,7.20,3,"[DataVault] Problem was addressed eventually, response time could be better."
TK0390,CC0178,2025-10-08,CloudSync,QLD,Portal,Medium,13.10,4,"[CloudSync] Very professional service, communication was clear and timely."
TK0070,CC0203,2025-10-09,Analytics Pro,QLD,Email,High,7.20,3,"[Analytics Pro] Problem was addressed eventually, response time could be better."
TK0364,CC0298,2025-10-09,DataVault,NSW,Portal,Medium,13.30,4,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0112,CC0350,2025-10-10,CloudSync,NSW,Portal,Medium,24.70,3,"[CloudSync] Support was okay, had to explain the situation more than once."
TK0147,CC0166,2025-10-10,DataVault,VIC,Email,High,8.00,4,"[DataVault] Very professional service, communication was clear and timely."
TK0333,CC0099,2025-10-10,DataVault,SA,Email,Medium,8.80,4,"[DataVault] Issue resolved quickly, team was responsive and helpful throughout."
TK0007,CC0331,2025-10-11,DataVault,WA,Email,High,6.00,4,"[DataVault] Issue resolved quickly, team was responsive and helpful throughout. Worried about credential reset requirements after the incident notification."
TK0065,CC0346,2025-10-11,Analytics Pro,VIC,Email,Low,25.60,3,"[Analytics Pro] It works now, though the process felt a bit clunky."
TK0376,CC0292,2025-10-11,CloudSync,WA,Portal,Medium,11.00,3,"[CloudSync] Problem was addressed eventually, response time could be better."
TK0085,CC0178,2025-10-12,Analytics Pro,QLD,Phone,High,5.50,3,[Analytics Pro] Resolved but took longer than expected to get a response.
TK0236,CC0249,2025-10-12,CloudSync,WA,Portal,Low,28.20,1,[CloudSync] Took far too long to resolve and disrupted our operations significantly. Concerned about the data breach impact on our account and compliance obligations.
TK0108,CC0068,2025-10-14,CloudSync,NSW,Chat,Low,49.70,3,"[CloudSync] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0166,CC0198,2025-10-15,CloudSync,SA,Portal,Medium,20.00,5,"[CloudSync] Very professional service, communication was clear and timely."
TK0084,CC0113,2025-10-16,Analytics Pro,VIC,Portal,Low,14.50,3,"[Analytics Pro] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0012,CC0389,2025-10-18,Analytics Pro,QLD,Email,Medium,15.50,2,[Analytics Pro] Support did not seem to understand the urgency of our situation.
TK0159,CC0056,2025-10-19,DataVault,NSW,Portal,Critical,2.50,3,"[DataVault] It works now, though the process felt a bit clunky."
TK0266,CC0094,2025-10-19,Analytics Pro,NSW,Phone,Medium,14.80,3,"[Analytics Pro] Problem was addressed eventually, response time could be better."
TK0287,CC0138,2025-10-19,CloudSync,QLD,Email,Critical,5.90,4,"[CloudSync] Issue resolved quickly, team was responsive and helpful throughout."
TK0296,CC0177,2025-10-19,DataVault,VIC,Email,High,4.60,4,[DataVault] Fixed within the hour and followed up to confirm everything was working.
TK0305,CC0314,2025-10-19,Analytics Pro,NSW,Portal,High,3.00,5,"[Analytics Pro] Great support experience, engineer understood the problem immediately."
TK0006,CC0142,2025-10-20,Analytics Pro,SA,Email,High,5.70,4,[Analytics Pro] Fixed within the hour and followed up to confirm everything was working.
TK0105,CC0156,2025-10-20,Analytics Pro,VIC,Portal,Medium,8.00,3,"[Analytics Pro] Support was okay, had to explain the situation more than once."
TK0018,CC0181,2025-10-21,Analytics Pro,NSW,Email,Medium,11.40,4,"[Analytics Pro] Painless process, would recommend CloudCore support to anyone."
TK0212,CC0070,2025-10-21,Analytics Pro,WA,Email,High,4.20,2,[Analytics Pro] Took far too long to resolve and disrupted our operations significantly.
TK0327,CC0284,2025-10-21,CloudSync,VIC,Phone,Low,42.10,3,"[CloudSync] Issue sorted after a couple of attempts, acceptable outcome overall."
TK0223,CC0164,2025-10-23,DataVault,QLD,Portal,Medium,15.90,3,"[DataVault] Support was okay, had to explain the situation more than once."
TK0027,CC0248,2025-10-24,CloudSync,SA,Portal,Low,15.20,2,[CloudSync] Slow response and the issue kept recurring after the supposed fix.
